generation,best_fitness,mean_fitness,test_successes,test_episodes,test_success_rate,test_mean_reward,best_saved_successes,best_saved_success_rate,best_saved_mean_reward,hidden_count,subpopulation_size,mutation_scale,use_burst_mutation,evaluations,seed,best_saved_training_seed
0,59.0,15.726190476190476,0,20,0.0,67.55,0,0.0,67.55,2,14,0.15,True,28,1,1
1,78.33333333333333,25.71428571428571,0,20,0.0,45.45,0,0.0,67.55,2,14,0.15,True,28,1,1
2,213.0,41.19047619047619,0,20,0.0,45.8,0,0.0,67.55,2,14,0.15,True,28,1,1
3,109.0,50.19047619047618,0,20,0.0,90.25,0,0.0,90.25,2,14,0.15,True,28,1,5
4,304.3333333333333,72.46428571428572,1,20,0.05,184.85,1,0.05,184.85,2,14,0.15,True,28,1,5
5,137.0,73.29761904761904,0,20,0.0,131.2,1,0.05,184.85,2,14,0.15,True,28,1,5
6,234.0,101.39285714285715,0,20,0.0,222.7,1,0.05,184.85,2,14,0.15,True,28,1,5
7,294.0,88.98809523809521,0,20,0.0,249.4,1,0.05,184.85,2,14,0.15,True,28,1,5
8,415.3333333333333,117.77380952380952,8,20,0.4,291.6,8,0.4,291.6,2,14,0.15,True,28,1,9
9,500.0,136.82142857142858,17,20,0.85,486.9,17,0.85,486.9,2,14,0.15,True,28,1,10
