generation,best_fitness,mean_fitness,test_successes,test_episodes,test_success_rate,test_mean_reward,best_saved_successes,best_saved_success_rate,best_saved_mean_reward,hidden_count,subpopulation_size,trials_per_neuron,episodes_per_fitness,network_evaluations,episode_evaluations,seed,best_saved_training_seed
0,63.666666666666664,17.116666666666667,0,20,0.0,60.5,0,0.0,60.5,2,10,1,3,20,60,1,13
1,105.33333333333333,19.4,0,20,0.0,105.35,0,0.0,105.35,2,10,1,3,20,60,1,10
2,39.0,11.98333333333333,0,20,0.0,58.95,0,0.0,105.35,2,10,1,3,20,60,1,10
3,210.0,25.266666666666666,4,20,0.2,152.25,4,0.2,152.25,2,10,1,3,20,60,1,9
4,500.0,36.31666666666666,20,20,1.0,500.0,20,1.0,500.0,2,10,1,3,20,60,1,14
5,500.0,40.0,20,20,1.0,499.5,20,1.0,500.0,2,10,1,3,20,60,1,14
6,120.0,19.7,0,20,0.0,119.05,20,1.0,500.0,2,10,1,3,20,60,1,14
7,15.666666666666666,10.000000000000002,0,20,0.0,17.0,20,1.0,500.0,2,10,1,3,20,60,1,14
8,53.0,14.416666666666666,0,20,0.0,39.95,20,1.0,500.0,2,10,1,3,20,60,1,14
9,75.33333333333333,15.666666666666668,0,20,0.0,72.95,20,1.0,500.0,2,10,1,3,20,60,1,14
